run,model,dataset,r2_score,rmse,time,memory
1,ARFR,FriedmanGra,0.7616254602455235,2.4320597471886463,1550.5318775177002,671.9375
10,ARFR,FriedmanGra,0.7586375574652793,2.4472545922837776,1176.423256635666,684.46484375
2,ARFR,FriedmanGra,0.7467686337958394,2.506704006029641,1536.0745940208435,683.5546875
3,ARFR,FriedmanGra,0.755229166886122,2.4644734230810883,1486.443158864975,650.32421875
4,ARFR,FriedmanGra,0.7498329137037552,2.49149139309664,1138.3214468955994,670.890625
5,ARFR,FriedmanGra,0.7592382662758191,2.4442073012113488,1172.7652015686035,623.6015625
6,ARFR,FriedmanGra,0.7467686337958394,2.506704006029641,1158.922521829605,670.7890625
7,ARFR,FriedmanGra,0.7616254602455235,2.4320597471886463,1127.4481346607208,699.75
8,ARFR,FriedmanGra,0.7547359338994825,2.4669552298900044,1176.1163403987885,675.765625
9,ARFR,FriedmanGra,0.7586375574652793,2.4472545922837776,1174.4684619903564,702.55859375
1,ARFR,FriedmanGsg,0.752913298621587,2.4748940781665723,1596.8068861961365,564.6640625
10,ARFR,FriedmanGsg,0.7588215144263338,2.4451258249083665,1220.3189051151276,630.0390625
2,ARFR,FriedmanGsg,0.7438790773737853,2.5197326270203666,1613.6537065505981,642.2265625
3,ARFR,FriedmanGsg,0.7374372155777287,2.5512235512614887,1392.877454996109,726.7265625
4,ARFR,FriedmanGsg,0.7438790773737853,2.5197326270203666,1138.5742678642273,702.44140625
5,ARFR,FriedmanGsg,0.7374372155777287,2.5512235512614887,1170.25040268898,717.72265625
6,ARFR,FriedmanGsg,0.7588215144263338,2.4451258249083665,1106.9718129634857,717.26953125
7,ARFR,FriedmanGsg,0.752913298621587,2.4748940781665723,1213.8269667625427,587.23828125
8,ARFR,FriedmanGsg,0.7481899514446504,2.4984373236005792,1234.8980000019073,643.08984375
9,ARFR,FriedmanGsg,0.752913298621587,2.4748940781665723,1120.900625705719,534.53125
1,ARFR,FriedmanLea,0.7827254894731861,2.51955873204411,1372.6498484611511,513.578125
10,ARFR,FriedmanLea,0.7908777977550594,2.4718389319753102,955.6943175792694,514.69921875
2,ARFR,FriedmanLea,0.7826642900260015,2.5199135475829504,1367.7284853458405,529.640625
3,ARFR,FriedmanLea,0.7933660302791761,2.4570893859669143,1140.8361852169037,547.8046875
4,ARFR,FriedmanLea,0.7883139381419142,2.486945270919373,966.7170698642731,540.15234375
5,ARFR,FriedmanLea,0.7827254894731861,2.51955873204411,970.780389547348,537.015625
6,ARFR,FriedmanLea,0.7826642900260015,2.5199135475829504,1010.4008839130402,583.62890625
7,ARFR,FriedmanLea,0.7908777977550594,2.4718389319753102,1007.7616097927094,491.94921875
8,ARFR,FriedmanLea,0.8021536462080053,2.404274895495276,994.7087180614471,527.40234375
9,ARFR,FriedmanLea,0.7938635967650521,2.4541293155760866,1016.1648547649384,545.83984375
1,ARFR,House8L,0.49058259694538087,37728.29837110667,165.31957507133484,152.8671875
10,ARFR,House8L,0.49058259694538087,37728.29837110667,115.75947594642639,166.81640625
2,ARFR,House8L,0.49058259694538087,37728.29837110667,157.19027662277222,147.53125
3,ARFR,House8L,0.4962052137306625,37519.51049088674,144.63344264030457,151.66796875
4,ARFR,House8L,0.49058259694538087,37728.29837110667,119.68330764770508,175.08203125
5,ARFR,House8L,0.5017727655539556,37311.61616188978,122.1591124534607,138.33984375
6,ARFR,House8L,0.5017727655539556,37311.61616188978,115.9143431186676,139.54296875
7,ARFR,House8L,0.5017727655539556,37311.61616188978,132.90543627738953,168.81640625
8,ARFR,House8L,0.5092187033429603,37031.75811881769,134.6194703578949,143.83203125
9,ARFR,House8L,0.5016376423630695,37316.675422500026,119.93419575691223,143.21484375
1,ARFR,MetroTraffic,0.21837082691862253,1756.8817304075667,190.32345962524414,76.5625
10,ARFR,MetroTraffic,0.21837082691862253,1756.8817304075667,148.22390866279602,105.9296875
2,ARFR,MetroTraffic,0.21019127983293384,1766.0504621328419,181.6789734363556,102.12890625
3,ARFR,MetroTraffic,0.2102446906943748,1765.9907464897494,159.7548668384552,130.08203125
4,ARFR,MetroTraffic,0.2102446906943748,1765.9907464897494,136.3362843990326,84.74609375
5,ARFR,MetroTraffic,0.21463816352240173,1761.0717208492863,132.82888388633728,94.34765625
6,ARFR,MetroTraffic,0.21019127983293384,1766.0504621328419,133.93242716789246,106.73046875
7,ARFR,MetroTraffic,0.22331385705141005,1751.3176514631375,146.55826926231384,63.0625
8,ARFR,MetroTraffic,0.21391187237139386,1761.8858393692667,149.82707118988037,63.6171875
9,ARFR,MetroTraffic,0.212737238936609,1763.2017207519289,133.68034529685974,67.15625
1,ARFR,abalone,0.590198909977458,2.135179565813071,34.94809150695801,7.7109375
10,ARFR,abalone,0.5899026879927576,2.135951126563016,22.192605018615723,10.12890625
2,ARFR,abalone,0.5932270117169178,2.1272763058665727,33.43002676963806,17.03125
3,ARFR,abalone,0.5927984869925623,2.1283965259414446,31.20835566520691,13.125
4,ARFR,abalone,0.6029749519749001,2.1016326331759165,22.646173000335693,15.3046875
5,ARFR,abalone,0.599366072494051,2.111162738800326,23.339027643203735,2.0390625
6,ARFR,abalone,0.6032133495067081,2.1010015656037573,21.485929250717163,11.04296875
7,ARFR,abalone,0.591735811405915,2.131171959262391,24.494670629501343,19.74609375
8,ARFR,abalone,0.5948379164588766,2.123059901300095,24.69472336769104,11.5625
